year,average_references,average_insample_references
1982,24.38888888888889,0.3194444444444444
1983,22.28409090909091,0.32954545454545453
1984,23.132653061224488,0.8775510204081632
1985,18.543307086614174,1.1732283464566928
1986,23.948979591836736,2.142857142857143
1987,26.165289256198346,2.396694214876033
1988,22.61744966442953,2.402684563758389
1989,18.921348314606742,2.162921348314607
1990,22.65841584158416,3.5792079207920793
1991,23.025830258302584,3.225092250922509
1992,25.05835543766578,4.1697612732095495
1993,24.657342657342657,4.564102564102564
1994,30.3454157782516,5.547974413646055
1995,27.353463587921848,5.214920071047957
1996,36.422600619195045,6.74922600619195
1997,37.00404858299595,7.635627530364372
1998,38.054830287206265,8.244125326370757
1999,35.94350961538461,7.951923076923077
2000,38.49883720930232,9.252325581395349
2001,38.616150442477874,8.768805309734514
2002,39.49948822927328,8.868986693961105
2003,39.6919959473151,8.752786220871327
2004,41.46219281663516,8.864839319470699
2005,40.8,9.335185185185185
2006,42.52680067001675,9.42964824120603
2007,43.32050209205021,9.889539748953975
2008,44.68128425998434,10.402505873140173
2009,47.041935483870965,10.633064516129032
2010,45.53064391000776,10.134988363072148
2011,44.31818181818182,9.970724191063175
2012,48.61424332344214,10.802670623145401
2013,47.77882523567803,10.490210297316896
2014,47.72733865119652,9.970268310369834
2015,50.17547425474255,10.074525745257452
2016,48.880617035546614,9.758551307847082
2017,48.818385650224215,10.073243647234678
2018,51.34347826086957,9.88623188405797
2019,50.69777458722182,10.09475951184494
2020,51.34770704996578,9.35523613963039
2021,55.411800486618006,9.777372262773723
2022,54.761965539246965,9.9617102744097
2023,54.412391738840775,9.441705529646901
2024,55.91034482758621,9.470219435736677
2025,57.832151300236404,9.24113475177305
